Genre,Decade,avg_NA,avg_EU,avg_JP,avg_Other,avg_critic,avg_user,n_games,cluster
Action,1990,1.5545454545454545,1.1872727272727273,0.4209090909090909,0.23090909090909092,85.27272727272727,8.563636363636364,11,1
Action,2000,0.36878787878787883,0.19604895104895106,0.042004662004662005,0.08900932400932401,65.81468531468532,7.229487179487179,858,0
Action,2010,0.34183774834437086,0.2875496688741722,0.04718543046357616,0.09463576158940397,69.27814569536424,6.783774834437086,604,0
Adventure,1990,0.27,0.125,0.25,0.025,68.5,7.550000000000001,2,0
Adventure,2000,0.1612987012987013,0.08487012987012987,0.033506493506493505,0.02792207792207792,63.188311688311686,6.919480519480519,154,0
Adventure,2010,0.130375,0.12375,0.023375,0.0385,71.4,7.39375,80,0
Fighting,1990,0.8224999999999999,0.585,0.53,0.08375,79.125,8.0375,8,1
Fighting,2000,0.39671232876712326,0.15753424657534246,0.07073059360730594,0.07242009132420091,68.39269406392694,7.38675799086758,219,0
Fighting,2010,0.24607476635514017,0.13682242990654206,0.0514018691588785,0.05551401869158879,69.29906542056075,6.9093457943925225,107,0
Misc,1990,0.15,0.095,0.82,0.025,79.0,8.15,2,0
Misc,2000,0.6040851063829787,0.33582978723404255,0.0942127659574468,0.11680851063829786,65.97021276595744,6.828510638297873,235,0
Misc,2010,0.6046788990825688,0.301651376146789,0.07880733944954128,0.09238532110091743,68.81651376146789,6.679816513761468,109,0
Platform,1990,1.05,0.5783333333333334,0.325,0.09833333333333333,86.0,8.783333333333333,6,1
Platform,2000,0.4688148148148148,0.24500000000000002,0.08866666666666667,0.08033333333333334,67.81851851851852,7.326666666666667,270,0
Platform,2010,0.4868235294117647,0.3304705882352941,0.15905882352941178,0.08988235294117647,73.92941176470588,7.124705882352941,85,0
Puzzle,1990,0.07500000000000001,0.05,0.0,0.01,81.0,7.8500000000000005,2,0
Puzzle,2000,0.3119318181818182,0.23909090909090908,0.15397727272727274,0.0628409090909091,70.23863636363636,7.255681818181818,88,0
Puzzle,2010,0.25277777777777777,0.13777777777777778,0.07,0.034444444444444444,73.77777777777777,7.038888888888889,18,0
Racing,1990,1.6862499999999998,1.31,0.6825,0.1925,88.875,8.7625,8,1
Racing,2000,0.4279177377892031,0.27146529562982,0.042724935732647816,0.10933161953727506,68.27249357326478,7.286118251928021,389,0
Racing,2010,0.2723529411764706,0.3276470588235294,0.05092436974789916,0.08991596638655462,70.70588235294117,6.35126050420168,119,0
Role-Playing,1990,0.5826315789473684,0.43842105263157893,0.7005263157894737,0.10052631578947369,82.57894736842105,8.484210526315788,19,1
Role-Playing,2000,0.30412820512820515,0.14202564102564103,0.19117948717948718,0.050923076923076925,71.95128205128205,7.747948717948717,390,0
Role-Playing,2010,0.30283783783783785,0.2048198198198198,0.125,0.06882882882882882,72.68018018018019,7.2090090090090095,222,0
Shooter,1990,1.395,0.29250000000000004,0.0225,0.037500000000000006,82.5,8.425,4,0
Shooter,2000,0.432133072407045,0.21178082191780823,0.011643835616438357,0.07291585127201565,70.05088062622309,7.380430528375734,511,0
Shooter,2010,0.6977992277992278,0.5030888030888031,0.04347490347490347,0.16741312741312742,72.06563706563706,6.489189189189189,259,0
Simulation,1980,0.0,0.025,0.0,0.01,61.5,4.0,2,0
Simulation,1990,0.13,0.0875,0.455,0.04,85.5,8.175,4,0
Simulation,2000,0.3601990049751244,0.23313432835820896,0.0826865671641791,0.062089552238805974,71.08955223880596,7.483582089552239,201,0
Simulation,2010,0.21377049180327867,0.24655737704918032,0.12901639344262295,0.052295081967213115,64.9672131147541,6.088524590163934,61,0
Sports,1990,1.71,0.69,0.365,0.125,93.0,8.95,2,1
Sports,2000,0.5089171974522293,0.24328025477707008,0.043885350318471336,0.09901273885350319,74.67515923566879,7.370222929936306,628,0
Sports,2010,0.45579646017699116,0.34969026548672566,0.02269911504424779,0.11681415929203541,72.09734513274336,6.176991150442478,226,0
Strategy,1990,0.016,0.038,0.0,0.004,81.6,8.32,5,0
Strategy,2000,0.11738372093023257,0.07430232558139535,0.02191860465116279,0.018546511627906978,72.52325581395348,7.412209302325582,172,0
Strategy,2010,0.15774193548387097,0.14919354838709678,0.006451612903225806,0.03983870967741935,73.46774193548387,6.733870967741935,62,0
