cluster,pairs,mean_NA,mean_EU,mean_JP,mean_Other,mean_critic_score,mean_user_score
0,31,0.344,0.201,0.104,0.063,71.68,7.131
1,6,1.234,0.798,0.504,0.139,85.809,8.597
